Date,Machine_ID,Ligne_Production,Temperature_C,Pression_bar,Quantite_Produite,Quantite_Defectueuse,Taux_Defaut,Heures_Fonctionnement,Heures_Arret
2023-01-04 15:39:00,M-004,Ligne_B,90.99,5.07,513,19.0,3.7037037037037033,8.0,0.0
2023-01-04 18:33:00,M-001,Ligne_A,65.58,4.62,508,22.0,4.330708661417323,8.0,0.0
2023-01-04 20:04:00,M-004,Ligne_B,77.0,5.2,659,25.0,3.793626707132018,8.0,0.0
2023-01-04 21:37:00,M-005,Ligne_C,75.36,3.75,577,25.0,4.332755632582322,6.78,1.22
2023-01-05 00:43:00,M-003,Ligne_B,88.6,4.91,1077,45.0,4.178272980501393,8.0,0.0
2023-01-05 02:24:00,M-002,Ligne_A,76.65,5.29,534,12.0,2.247191011235955,8.0,0.0
2023-01-05 03:27:00,M-003,Ligne_B,86.23,3.88,464,15.0,3.2327586206896552,8.0,0.0
2023-01-05 03:40:00,M-002,Ligne_A,69.8,4.07,231,7.0,3.0303030303030303,8.0,0.0
2023-01-05 05:26:00,M-002,Ligne_A,71.79,4.12,663,9.0,1.3574660633484164,7.63,0.37
2023-01-05 10:00:00,M-002,Ligne_A,66.42,5.04,390,4.0,1.0256410256410255,7.62,0.38
2023-01-05 11:12:00,M-005,Ligne_C,86.52,6.22,595,23.0,3.865546218487395,6.14,1.86
2023-01-05 11:46:00,M-002,Ligne_A,59.87,4.65,400,11.0,2.75,7.96,0.04
2023-01-05 11:48:00,M-004,Ligne_B,90.97,4.9,629,16.0,2.5437201907790143,8.0,0.0
2023-01-05 12:59:00,M-003,Ligne_B,82.66,4.25,547,21.0,3.8391224862888484,8.0,0.0
2023-01-05 13:30:00,M-001,Ligne_A,61.94,3.49,637,30.0,4.709576138147567,8.0,0.0
2023-01-05 14:57:00,M-005,Ligne_C,87.64,5.82,300,5.0,1.6666666666666667,8.0,0.0
2023-01-05 15:51:00,M-005,Ligne_C,97.91,5.51,393,4.0,1.0178117048346056,8.0,0.0
2023-01-05 15:59:00,M-004,Ligne_B,83.34,6.0,497,14.0,2.8169014084507045,7.9,0.1
2023-01-05 16:29:00,M-005,Ligne_C,78.47,2.9,304,45.0,14.802631578947366,7.98,0.02
2023-01-05 16:37:00,M-001,Ligne_A,77.21,3.35,674,24.0,3.5608308605341246,8.0,0.0
2023-01-05 18:55:00,M-003,Ligne_B,85.07,4.34,509,17.0,3.3398821218074657,6.59,1.41
2023-01-05 19:22:00,M-004,Ligne_B,71.72,5.52,407,12.0,2.9484029484029484,8.0,0.0
2023-01-05 19:32:00,M-001,Ligne_A,80.56,4.38,588,28.0,4.761904761904762,8.0,0.0
2023-01-05 21:11:00,M-003,Ligne_B,81.59,4.67,632,6.0,0.949367088607595,8.0,0.0
2023-01-05 21:32:00,M-003,Ligne_B,81.75,4.03,627,9.0,1.4354066985645932,8.0,0.0
2023-01-05 21:52:00,M-001,Ligne_A,74.76,5.66,554,23.0,4.1516245487364625,8.0,0.0
2023-01-05 22:21:00,M-004,Ligne_B,89.07,3.84,415,16.0,3.8554216867469884,8.0,0.0
2023-01-05 22:53:00,M-004,Ligne_B,72.49,3.52,399,18.0,4.511278195488721,8.0,0.0
2023-01-06 00:33:00,M-003,Ligne_B,93.13,4.33,664,26.0,3.91566265060241,7.3,0.7
2023-01-06 08:41:00,M-003,Ligne_B,94.14,4.45,602,15.0,2.4916943521594686,8.0,0.0
2023-01-06 11:14:00,M-003,Ligne_B,82.83,4.28,408,19.0,4.6568627450980395,8.0,0.0
2023-01-06 12:53:00,M-003,Ligne_B,85.68,4.98,377,8.0,2.122015915119363,8.0,0.0
2023-01-06 14:24:00,M-004,Ligne_B,99.65,5.46,320,12.0,3.75,8.0,0.0
2023-01-06 15:29:00,M-005,Ligne_C,89.37,5.0,498,6.0,1.2048192771084338,7.6,0.4
2023-01-06 18:19:00,M-002,Ligne_A,65.51,5.28,477,11.0,2.3060796645702304,7.94,0.06
2023-01-06 20:49:00,M-001,Ligne_A,72.06,4.05,376,5.0,1.3297872340425532,8.0,0.0
2023-01-06 20:49:00,M-005,Ligne_C,86.71,4.15,530,22.0,4.150943396226415,8.0,0.0
2023-01-06 20:59:00,M-003,Ligne_B,81.7,4.69,282,11.0,3.900709219858156,8.0,0.0
2023-01-06 21:15:00,M-005,Ligne_C,75.15,4.515,704,9.0,1.278409090909091,8.0,0.0
2023-01-06 21:17:00,M-004,Ligne_B,87.18,5.68,628,9.0,1.4331210191082804,8.0,0.0
2023-01-06 21:46:00,M-005,Ligne_C,83.88,4.26,499,14.0,2.80561122244489,8.0,0.0
2023-01-06 22:51:00,M-005,Ligne_C,87.26,3.84,577,27.0,4.679376083188909,8.0,0.0
2023-01-07 00:33:00,M-001,Ligne_A,77.66,3.34,373,16.0,4.289544235924933,8.0,0.0
2023-01-07 00:50:00,M-001,Ligne_A,71.12,4.51,514,25.0,4.863813229571985,8.0,0.0
2023-01-07 05:41:00,M-001,Ligne_A,66.13,6.32,560,21.0,3.75,8.0,0.0
2023-01-07 07:02:00,M-001,Ligne_A,80.77,3.89,630,7.0,1.1111111111111112,8.0,0.0
2023-01-07 09:07:00,M-002,Ligne_A,70.92,4.41,646,22.0,3.4055727554179565,8.0,0.0
2023-01-07 12:13:00,M-002,Ligne_A,65.8,4.02,181,6.0,3.314917127071823,8.0,0.0
2023-01-07 18:18:00,M-005,Ligne_C,81.32,2.97,554,89.0,16.064981949458485,8.0,0.0
2023-01-07 18:53:00,M-002,Ligne_A,73.71,5.68,605,27.0,4.462809917355372,8.0,0.0
2023-01-07 19:06:00,M-003,Ligne_B,84.07,5.44,429,21.0,4.895104895104895,8.0,0.0
2023-01-07 21:15:00,M-002,Ligne_A,134.78,3.62,551,97.0,17.604355716878402,8.0,0.0
2023-01-07 21:30:00,M-003,Ligne_B,84.4,2.54,364,27.0,7.417582417582418,8.0,0.0
2023-01-07 21:35:00,M-005,Ligne_C,86.82,4.74,727,34.0,4.676753782668501,8.0,0.0
2023-01-08 02:59:00,M-002,Ligne_A,71.56,4.14,593,16.0,2.6981450252951094,8.0,0.0
2023-01-08 05:40:00,M-002,Ligne_A,63.16,4.93,659,16.0,2.4279210925644916,8.0,0.0
2023-01-08 06:59:00,M-005,Ligne_C,95.79,4.77,387,11.0,2.842377260981912,8.0,0.0
2023-01-08 08:26:00,M-001,Ligne_A,70.57,5.74,525,17.0,3.2380952380952377,8.0,0.0
2023-01-08 08:51:00,M-002,Ligne_A,75.77,4.3,645,9.0,1.3953488372093024,8.0,0.0
2023-01-08 10:52:00,M-001,Ligne_A,77.45,5.2,434,4.0,0.9216589861751152,8.0,0.0
2023-01-08 15:13:00,M-004,Ligne_B,82.6,5.35,236,6.0,2.5423728813559325,8.0,0.0
2023-01-08 22:34:00,M-004,Ligne_B,91.2,4.39,530,21.0,3.9622641509433962,8.0,0.0
2023-01-08 23:15:00,M-005,Ligne_C,69.8,5.8,292,12.0,4.10958904109589,8.0,0.0
2023-01-08 23:45:00,M-005,Ligne_C,84.8,5.14,457,67.0,14.660831509846828,8.0,0.0
2023-01-09 06:33:00,M-002,Ligne_A,61.68,5.4,283,5.0,1.76678445229682,8.0,0.0
2023-01-09 07:13:00,M-001,Ligne_A,71.83,3.75,422,19.0,4.502369668246446,8.0,0.0
2023-01-09 08:35:00,M-004,Ligne_B,77.59,6.14,452,7.0,1.5486725663716814,8.0,0.0
2023-01-09 11:21:00,M-002,Ligne_A,67.35,3.87,483,8.0,1.6563146997929608,7.77,0.23
2023-01-09 11:35:00,M-001,Ligne_A,64.82,6.07,505,5.0,0.9900990099009901,7.2,0.8
2023-01-09 11:50:00,M-001,Ligne_A,66.5,4.67,483,20.0,4.140786749482402,8.0,0.0
2023-01-09 13:01:00,M-002,Ligne_A,68.9,3.91,586,10.0,1.7064846416382253,8.0,0.0
2023-01-09 14:00:00,M-001,Ligne_A,68.62,2.66,272,41.0,15.073529411764705,8.0,0.0
2023-01-09 16:08:00,M-003,Ligne_B,94.57,4.96,546,16.0,2.93040293040293,8.0,0.0
2023-01-09 16:52:00,M-004,Ligne_B,78.19,4.56,728,14.0,1.9230769230769231,8.0,0.0
2023-01-09 17:42:00,M-001,Ligne_A,57.72,3.89,286,3.0,1.048951048951049,8.0,0.0
2023-01-09 18:43:00,M-003,Ligne_B,77.57,3.98,384,17.0,4.427083333333334,7.55,0.45
2023-01-09 19:59:00,M-001,Ligne_A,68.25,5.34,598,17.0,2.842809364548495,7.95,0.05
2023-01-09 22:08:00,M-004,Ligne_B,101.62,5.31,433,40.0,9.237875288683602,8.0,0.0
2023-01-09 22:12:00,M-003,Ligne_B,96.07,5.62,303,9.0,2.9702970297029703,8.0,0.0
2023-01-10 01:27:00,M-004,Ligne_B,75.21,4.95,402,7.0,1.7412935323383085,8.0,0.0
2023-01-10 03:42:00,M-001,Ligne_A,67.56,3.84,418,19.0,4.545454545454546,8.0,0.0
2023-01-10 08:35:00,M-001,Ligne_A,70.24,3.84,540,7.0,1.2962962962962963,7.75,0.25
2023-01-10 12:50:00,M-001,Ligne_A,69.75,4.04,613,10.0,1.631321370309951,8.0,0.0
2023-01-10 13:36:00,M-003,Ligne_B,88.7,4.67,806,17.0,2.109181141439206,8.0,0.0
2023-01-10 15:58:00,M-004,Ligne_B,96.34,3.97,585,13.0,2.2222222222222223,8.0,0.0
2023-01-10 17:30:00,M-003,Ligne_B,86.96,2.31,431,48.0,11.1368909512761,7.56,0.44
2023-01-10 19:06:00,M-001,Ligne_A,68.47,4.45,318,9.0,2.8301886792452833,8.0,0.0
2023-01-10 20:45:00,M-002,Ligne_A,69.26,4.17,409,15.0,3.6674816625916873,8.0,0.0
2023-01-10 20:50:00,M-004,Ligne_B,90.32,4.92,716,20.0,2.793296089385475,7.73,0.27
2023-01-10 21:00:00,M-005,Ligne_C,89.04,4.34,555,26.0,4.684684684684685,8.0,0.0
2023-01-10 23:46:00,M-001,Ligne_A,66.98,4.89,737,32.0,4.341926729986431,7.92,0.08
2023-01-11 00:59:00,M-003,Ligne_B,80.84,4.97,452,19.0,4.20353982300885,7.45,0.55
2023-01-11 01:44:00,M-005,Ligne_C,82.77,2.73,554,74.0,13.357400722021662,8.0,0.0
2023-01-11 01:55:00,M-002,Ligne_A,68.75,5.54,398,8.0,2.0100502512562812,8.0,0.0
2023-01-11 04:26:00,M-005,Ligne_C,69.39,4.51,751,14.0,1.8641810918774968,8.0,0.0
2023-01-11 05:18:00,M-005,Ligne_C,83.33,5.16,633,22.0,3.4755134281200633,7.94,0.06
2023-01-11 10:10:00,M-005,Ligne_C,85.67,4.63,585,13.0,2.2222222222222223,8.0,0.0
2023-01-11 12:55:00,M-001,Ligne_A,71.69,4.17,594,27.0,4.545454545454546,8.0,0.0
2023-01-11 16:30:00,M-002,Ligne_A,81.35,4.11,560,12.0,2.142857142857143,8.0,0.0
2023-01-11 19:09:00,M-004,Ligne_B,90.81,3.82,510,20.0,3.9215686274509802,8.0,0.0
2023-01-11 19:48:00,M-005,Ligne_C,81.66,4.22,624,26.0,4.166666666666666,8.0,0.0
2023-01-11 22:24:00,M-003,Ligne_B,83.11,3.72,433,8.0,1.8475750577367205,8.0,0.0
2023-01-11 22:30:00,M-002,Ligne_A,71.89,5.27,646,23.0,3.560371517027864,8.0,0.0
2023-01-12 04:37:00,M-003,Ligne_B,87.89,4.45,383,6.0,1.5665796344647518,8.0,0.0
2023-01-12 04:46:00,M-002,Ligne_A,63.78,4.64,625,16.0,2.56,8.0,0.0
2023-01-12 05:09:00,M-001,Ligne_A,73.27,4.46,541,16.0,2.957486136783734,7.53,0.47
2023-01-12 09:26:00,M-003,Ligne_B,77.12,4.59,608,23.0,3.7828947368421053,8.0,0.0
2023-01-12 10:27:00,M-005,Ligne_C,86.52,4.85,537,18.0,3.35195530726257,8.0,0.0
2023-01-12 16:32:00,M-003,Ligne_B,77.02,5.77,423,20.0,4.7281323877068555,8.0,0.0
2023-01-12 18:36:00,M-004,Ligne_B,84.37,5.12,880,22.0,2.5,8.0,0.0
2023-01-12 21:27:00,M-001,Ligne_A,72.62,4.37,435,18.0,4.137931034482759,8.0,0.0
2023-01-13 12:39:00,M-003,Ligne_B,90.97,2.64,465,68.0,14.623655913978496,8.0,0.0
2023-01-13 14:29:00,M-003,Ligne_B,89.4,3.3,460,12.0,2.608695652173913,8.0,0.0
2023-01-13 15:06:00,M-005,Ligne_C,83.28,4.28,95,4.0,4.2105263157894735,8.0,0.0
2023-01-13 15:57:00,M-003,Ligne_B,84.62,5.36,223,7.0,3.1390134529147984,8.0,0.0
2023-01-13 16:52:00,M-002,Ligne_A,68.66,3.61,886,11.0,1.2415349887133182,8.0,0.0
2023-01-13 19:05:00,M-002,Ligne_A,70.3,3.87,601,27.0,4.492512479201332,8.0,0.0
2023-01-13 21:12:00,M-004,Ligne_B,80.98,4.06,495,16.0,3.2323232323232323,8.0,0.0
2023-01-13 23:46:00,M-003,Ligne_B,81.2,5.61,101,2.0,1.9801980198019802,8.0,0.0
2023-01-14 02:22:00,M-003,Ligne_B,93.72,2.84,448,84.0,18.75,8.0,0.0
2023-01-14 02:40:00,M-004,Ligne_B,82.4,3.37,383,13.0,3.3942558746736298,8.0,0.0
2023-01-14 04:00:00,M-004,Ligne_B,82.47,4.44,572,20.0,3.4965034965034967,8.0,0.0
2023-01-14 04:50:00,M-002,Ligne_A,66.14,5.08,330,3.0,0.9090909090909091,7.95,0.05
2023-01-14 05:12:00,M-004,Ligne_B,81.33,4.89,316,4.0,1.2658227848101267,8.0,0.0
2023-01-14 06:10:00,M-005,Ligne_C,89.99,5.15,358,15.0,4.189944134078212,7.11,0.89
2023-01-14 06:30:00,M-001,Ligne_A,78.23,3.69,401,18.0,4.488778054862843,8.0,0.0
2023-01-14 10:38:00,M-001,Ligne_A,65.31,4.76,312,8.0,2.564102564102564,6.88,1.12
2023-01-14 11:13:00,M-004,Ligne_B,81.34,5.34,394,13.0,3.2994923857868024,8.0,0.0
2023-01-14 12:33:00,M-003,Ligne_B,75.14,5.11,288,7.0,2.430555555555556,8.0,0.0
2023-01-14 14:33:00,M-002,Ligne_A,59.59,5.86,531,21.0,3.954802259887006,8.0,0.0
2023-01-14 19:48:00,M-004,Ligne_B,84.32,5.28,495,20.0,4.040404040404041,8.0,0.0
2023-01-14 20:31:00,M-002,Ligne_A,68.18,4.45,546,19.0,3.47985347985348,8.0,0.0
2023-01-14 22:27:00,M-003,Ligne_B,73.03,4.0,437,18.0,4.118993135011442,8.0,0.0
2023-01-14 23:11:00,M-001,Ligne_A,69.91999999999999,4.78,419,4.0,0.9546539379474941,8.0,0.0
2023-01-15 01:20:00,M-004,Ligne_B,79.55,3.2,582,18.0,3.0927835051546393,8.0,0.0
2023-01-15 02:02:00,M-001,Ligne_A,75.15,4.88,538,18.0,3.3457249070631967,8.0,0.0
2023-01-15 02:29:00,M-004,Ligne_B,91.88,3.7,576,26.0,4.513888888888888,8.0,0.0
2023-01-15 03:56:00,M-001,Ligne_A,60.8,3.48,406,6.0,1.477832512315271,8.0,0.0
2023-01-15 05:59:00,M-004,Ligne_B,85.18,4.22,529,18.0,3.402646502835539,7.86,0.14
2023-01-15 07:51:00,M-005,Ligne_C,74.33,3.86,701,15.0,2.1398002853067046,7.58,0.42
2023-01-15 08:50:00,M-003,Ligne_B,78.81,6.17,454,21.0,4.6255506607929515,8.0,0.0
2023-01-15 09:29:00,M-003,Ligne_B,78.99,5.06,413,12.0,2.9055690072639226,7.55,0.45
2023-01-15 10:46:00,M-002,Ligne_A,70.61,5.42,394,5.0,1.2690355329949239,8.0,0.0
2023-01-15 10:59:00,M-004,Ligne_B,86.26,4.23,796,21.0,2.638190954773869,8.0,0.0
2023-01-15 12:03:00,M-002,Ligne_A,69.76,5.07,415,17.0,4.096385542168675,7.41,0.59
2023-01-15 12:21:00,M-003,Ligne_B,89.35,3.24,390,18.0,4.615384615384616,8.0,0.0
2023-01-15 15:32:00,M-004,Ligne_B,83.27,3.44,466,14.0,3.004291845493562,6.97,1.03
2023-01-15 15:42:00,M-005,Ligne_C,90.72,4.99,692,30.0,4.335260115606936,8.0,0.0
2023-01-15 15:54:00,M-002,Ligne_A,75.31,4.46,250,4.0,1.6,5.8,2.2
2023-01-15 15:57:00,M-005,Ligne_C,88.01,4.67,540,25.0,4.62962962962963,8.0,0.0
2023-01-15 17:37:00,M-002,Ligne_A,63.62,4.86,468,22.0,4.700854700854701,8.0,0.0
2023-01-15 18:02:00,M-005,Ligne_C,84.72,5.05,504,11.0,2.1825396825396823,8.0,0.0
2023-01-15 20:38:00,M-005,Ligne_C,85.21,3.38,575,8.0,1.391304347826087,8.0,0.0
2023-01-15 23:39:00,M-001,Ligne_A,71.11,4.12,688,8.0,1.1627906976744187,8.0,0.0
2023-01-16 02:30:00,M-001,Ligne_A,65.53,4.83,210,8.0,3.8095238095238098,8.0,0.0
2023-01-16 03:47:00,M-001,Ligne_A,75.16,3.31,540,10.0,1.8518518518518516,8.0,0.0
2023-01-16 05:20:00,M-002,Ligne_A,74.45,5.07,507,21.0,4.142011834319527,8.0,0.0
2023-01-16 07:12:00,M-003,Ligne_B,81.38,5.63,844,37.0,4.383886255924171,8.0,0.0
2023-01-16 07:18:00,M-005,Ligne_C,82.46,3.15,236,9.0,3.8135593220338984,8.0,0.0
2023-01-16 07:23:00,M-002,Ligne_A,67.9,4.27,298,6.0,2.013422818791946,8.0,0.0
2023-01-16 13:41:00,M-002,Ligne_A,65.41,2.95,318,34.0,10.69182389937107,8.0,0.0
2023-01-16 14:09:00,M-003,Ligne_B,83.84,3.84,846,14.0,1.6548463356973995,5.64,2.36
2023-01-16 23:10:00,M-001,Ligne_A,66.68,5.43,743,22.0,2.9609690444145356,7.87,0.13
2023-01-17 03:21:00,M-002,Ligne_A,67.41,4.02,583,13.0,2.2298456260720414,8.0,0.0
2023-01-17 06:06:00,M-001,Ligne_A,66.89,5.64,414,15.0,3.6231884057971016,8.0,0.0
2023-01-17 07:17:00,M-001,Ligne_A,71.72,4.2,394,12.0,3.0456852791878175,7.55,0.45
2023-01-17 08:14:00,M-003,Ligne_B,80.07,3.83,524,23.0,4.3893129770992365,8.0,0.0
2023-01-17 10:04:00,M-004,Ligne_B,80.71,4.19,542,19.0,3.505535055350553,7.6,0.4
2023-01-17 10:05:00,M-004,Ligne_B,87.34,4.36,380,9.0,2.368421052631579,8.0,0.0
2023-01-17 10:25:00,M-002,Ligne_A,74.42,3.74,373,7.0,1.876675603217158,8.0,0.0
2023-01-17 10:26:00,M-003,Ligne_B,84.94,4.09,533,23.0,4.315196998123827,8.0,0.0
2023-01-17 14:16:00,M-003,Ligne_B,60.63,3.8,680,16.0,2.3529411764705883,7.43,0.57
2023-01-17 15:59:00,M-001,Ligne_A,71.72,3.19,569,25.0,4.393673110720562,8.0,0.0
2023-01-17 18:41:00,M-001,Ligne_A,72.95,5.39,623,23.0,3.6918138041733553,8.0,0.0
2023-01-17 21:36:00,M-003,Ligne_B,88.55,5.31,729,29.0,3.9780521262002746,8.0,0.0
2023-01-17 22:36:00,M-002,Ligne_A,69.16,4.62,680,11.0,1.6176470588235297,8.0,0.0
2023-01-18 01:36:00,M-001,Ligne_A,65.92,4.83,560,16.0,2.857142857142857,8.0,0.0
2023-01-18 02:07:00,M-003,Ligne_B,86.34,4.54,296,10.0,3.3783783783783785,8.0,0.0
2023-01-18 04:57:00,M-005,Ligne_C,90.22,5.7,532,7.0,1.3157894736842104,8.0,0.0
2023-01-18 06:29:00,M-005,Ligne_C,86.75,5.76,485,17.0,3.5051546391752577,8.0,0.0
2023-01-18 08:55:00,M-004,Ligne_B,86.95,4.64,561,7.0,1.2477718360071302,8.0,0.0
2023-01-18 09:01:00,M-003,Ligne_B,92.52,3.68,519,12.0,2.312138728323699,8.0,0.0
2023-01-18 09:38:00,M-004,Ligne_B,124.58,4.12,519,99.0,19.07514450867052,8.0,0.0
2023-01-18 14:38:00,M-004,Ligne_B,87.57,4.08,480,19.0,3.958333333333333,7.43,0.57
2023-01-18 20:41:00,M-003,Ligne_B,70.75,3.14,439,21.0,4.783599088838269,8.0,0.0
2023-01-18 21:34:00,M-003,Ligne_B,74.86,2.74,566,62.0,10.954063604240282,8.0,0.0
2023-01-19 02:49:00,M-004,Ligne_B,81.49,4.7,415,15.0,3.614457831325301,7.84,0.16
2023-01-19 04:32:00,M-004,Ligne_B,89.55,4.42,776,20.0,2.5773195876288657,8.0,0.0
2023-01-19 08:31:00,M-004,Ligne_B,77.51,5.22,469,9.0,1.9189765458422177,8.0,0.0
2023-01-19 11:04:00,M-005,Ligne_C,76.24,5.66,487,23.0,4.722792607802875,7.9,0.1
2023-01-19 11:44:00,M-005,Ligne_C,92.82,4.77,568,23.0,4.049295774647888,8.0,0.0
2023-01-19 14:24:00,M-001,Ligne_A,72.3,4.99,358,4.0,1.1173184357541899,8.0,0.0
2023-01-19 14:57:00,M-002,Ligne_A,71.62,4.66,606,25.0,4.125412541254125,8.0,0.0
2023-01-19 17:16:00,M-003,Ligne_B,77.78,4.46,556,15.0,2.697841726618705,8.0,0.0
2023-01-19 17:21:00,M-003,Ligne_B,79.7,4.47,285,3.0,1.0526315789473684,7.56,0.44
2023-01-19 17:51:00,M-003,Ligne_B,90.88,3.98,433,4.0,0.9237875288683602,8.0,0.0
2023-01-19 18:45:00,M-002,Ligne_A,60.55,4.36,396,11.0,2.7777777777777777,8.0,0.0
2023-01-19 20:12:00,M-003,Ligne_B,73.91,5.11,617,25.0,4.051863857374392,8.0,0.0
2023-01-19 22:59:00,M-004,Ligne_B,87.98,4.48,414,5.0,1.2077294685990339,8.0,0.0
2023-01-20 00:16:00,M-001,Ligne_A,69.98,4.51,725,23.0,3.1724137931034484,8.0,0.0
2023-01-20 01:23:00,M-001,Ligne_A,74.39,3.8,505,12.0,2.376237623762376,8.0,0.0
2023-01-20 02:03:00,M-003,Ligne_B,77.99,4.28,769,32.0,4.161248374512354,8.0,0.0
2023-01-20 03:24:00,M-005,Ligne_C,89.49,4.11,433,6.0,1.3856812933025404,8.0,0.0
2023-01-20 05:26:00,M-001,Ligne_A,77.0,5.24,508,19.0,3.740157480314961,8.0,0.0
2023-01-20 05:43:00,M-001,Ligne_A,66.77,4.81,602,25.0,4.152823920265781,8.0,0.0
2023-01-20 06:58:00,M-002,Ligne_A,75.25,4.07,697,19.0,2.72596843615495,7.48,0.52
2023-01-20 08:12:00,M-005,Ligne_C,86.38,5.89,529,7.0,1.3232514177693762,8.0,0.0
