Date,Machine_ID,Ligne_Production,Temperature_C,Pression_bar,Quantite_Produite,Quantite_Defectueuse,Heures_Fonctionnement,Heures_Arret
2023-01-06 12:53:00,M-003,Ligne_B,85.68,4.98,377,8.0,8.0,0.0
2023-01-06 14:24:00,M-004,Ligne_B,99.65,5.46,320,12.0,8.0,0.0
2023-01-06 15:29:00,M-005,Ligne_C,89.37,5.0,498,6.0,7.6,0.4
2023-01-06 18:19:00,M-002,Ligne_A,65.51,5.28,477,11.0,7.94,0.06
2023-01-06 20:49:00,M-001,Ligne_A,72.06,4.05,376,5.0,8.0,0.0
2023-01-06 20:49:00,M-005,Ligne_C,86.71,4.15,530,22.0,8.0,0.0
2023-01-06 20:59:00,M-003,Ligne_B,81.7,4.69,282,11.0,8.0,0.0
2023-01-06 21:15:00,M-005,Ligne_C,75.15,,704,9.0,8.0,0.0
2023-01-06 21:17:00,M-004,Ligne_B,87.18,5.68,628,9.0,8.0,0.0
2023-01-06 21:46:00,M-005,Ligne_C,83.88,4.26,499,14.0,8.0,0.0
2023-01-06 22:51:00,M-005,Ligne_C,87.26,3.84,577,27.0,8.0,0.0
2023-01-07 00:33:00,M-001,Ligne_A,77.66,3.34,373,16.0,8.0,0.0
2023-01-07 00:50:00,M-001,Ligne_A,71.12,4.51,514,25.0,8.0,0.0
2023-01-07 05:41:00,M-001,Ligne_A,66.13,6.32,560,21.0,8.0,0.0
2023-01-07 07:02:00,M-001,Ligne_A,80.77,3.89,630,7.0,8.0,0.0
2023-01-07 09:07:00,M-002,Ligne_A,70.92,4.41,646,22.0,8.0,0.0
2023-01-07 12:13:00,M-002,Ligne_A,65.8,4.02,181,6.0,8.0,0.0
2023-01-07 18:18:00,M-005,Ligne_C,81.32,2.97,554,89.0,8.0,0.0
2023-01-07 18:53:00,M-002,Ligne_A,73.71,5.68,605,27.0,8.0,0.0
2023-01-07 19:06:00,M-003,Ligne_B,84.07,5.44,429,21.0,8.0,0.0
2023-01-07 21:15:00,M-002,Ligne_A,134.78,3.62,551,97.0,8.0,0.0
2023-01-07 21:30:00,M-003,Ligne_B,84.4,2.54,364,27.0,8.0,0.0
2023-01-07 21:35:00,M-005,Ligne_C,86.82,4.74,727,34.0,8.0,0.0
2023-01-08 02:59:00,M-002,Ligne_A,71.56,4.14,593,16.0,8.0,0.0
2023-01-08 05:40:00,M-002,Ligne_A,63.16,4.93,659,16.0,8.0,0.0
2023-01-08 06:59:00,M-005,Ligne_C,95.79,4.77,387,11.0,8.0,0.0
2023-01-08 08:26:00,M-001,Ligne_A,70.57,5.74,525,17.0,8.0,0.0
2023-01-08 08:51:00,M-002,Ligne_A,75.77,4.3,645,9.0,8.0,0.0
2023-01-08 10:52:00,M-001,Ligne_A,77.45,5.2,434,4.0,8.0,0.0
2023-01-08 15:13:00,M-004,Ligne_B,82.6,5.35,236,6.0,8.0,0.0
2023-01-08 22:34:00,M-004,Ligne_B,91.2,4.39,530,21.0,8.0,0.0
2023-01-08 23:15:00,M-005,Ligne_C,69.8,5.8,292,12.0,8.0,0.0
2023-01-08 23:45:00,M-005,Ligne_C,205.65,5.14,457,67.0,8.0,0.0
2023-01-09 06:33:00,M-002,Ligne_A,61.68,5.4,283,5.0,8.0,0.0
2023-01-09 07:13:00,M-001,Ligne_A,71.83,3.75,422,19.0,8.0,0.0
2023-01-09 08:35:00,M-004,Ligne_B,77.59,6.14,452,7.0,8.0,0.0
2023-01-09 11:21:00,M-002,Ligne_A,67.35,3.87,483,8.0,7.77,0.23
2023-01-09 11:35:00,M-001,Ligne_A,64.82,6.07,505,5.0,7.2,0.8
2023-01-09 11:50:00,M-001,Ligne_A,66.5,4.67,483,20.0,8.0,0.0
2023-01-09 13:01:00,M-002,Ligne_A,68.9,3.91,586,10.0,8.0,0.0
2023-01-09 14:00:00,M-001,Ligne_A,68.62,2.66,272,41.0,8.0,0.0
2023-01-09 16:08:00,M-003,Ligne_B,94.57,4.96,546,16.0,8.0,0.0
2023-01-09 16:52:00,M-004,Ligne_B,78.19,4.56,728,14.0,8.0,0.0
2023-01-09 17:42:00,M-001,Ligne_A,57.72,3.89,286,3.0,8.0,0.0
2023-01-09 18:43:00,M-003,Ligne_B,77.57,3.98,384,17.0,7.55,0.45
2023-01-09 19:59:00,M-001,Ligne_A,68.25,5.34,598,17.0,7.95,0.05
2023-01-09 22:08:00,M-004,Ligne_B,101.62,5.31,433,40.0,8.0,0.0
2023-01-09 22:12:00,M-003,Ligne_B,96.07,5.62,303,9.0,8.0,0.0
2023-01-10 01:27:00,M-004,Ligne_B,75.21,4.95,402,7.0,8.0,0.0
2023-01-10 03:42:00,M-001,Ligne_A,67.56,3.84,418,19.0,8.0,0.0
2023-01-10 08:35:00,M-001,Ligne_A,70.24,3.84,540,7.0,7.75,0.25
2023-01-10 12:50:00,M-001,Ligne_A,69.75,4.04,613,10.0,8.0,0.0
2023-01-10 13:36:00,M-003,Ligne_B,88.7,4.67,806,17.0,8.0,0.0
2023-01-10 15:58:00,M-004,Ligne_B,96.34,3.97,585,13.0,8.0,0.0
2023-01-10 17:30:00,M-003,Ligne_B,86.96,2.31,431,48.0,7.56,0.44
2023-01-10 19:06:00,M-001,Ligne_A,68.47,4.45,318,9.0,8.0,0.0
2023-01-10 20:45:00,M-002,Ligne_A,69.26,4.17,409,15.0,8.0,0.0
2023-01-10 20:50:00,M-004,Ligne_B,90.32,4.92,716,20.0,7.73,0.27
2023-01-10 21:00:00,M-005,Ligne_C,89.04,4.34,555,26.0,8.0,0.0
2023-01-10 23:46:00,M-001,Ligne_A,66.98,4.89,737,32.0,7.92,0.08
2023-01-11 00:59:00,M-003,Ligne_B,80.84,4.97,452,19.0,7.45,0.55
2023-01-11 01:44:00,M-005,Ligne_C,82.77,2.73,554,74.0,8.0,0.0
2023-01-11 01:55:00,M-002,Ligne_A,68.75,5.54,398,8.0,8.0,0.0
2023-01-11 04:26:00,M-005,Ligne_C,69.39,4.51,751,14.0,8.0,0.0
2023-01-11 05:18:00,M-005,Ligne_C,83.33,5.16,633,22.0,7.94,0.06
2023-01-11 10:10:00,M-005,Ligne_C,85.67,4.63,585,13.0,8.0,0.0
2023-01-11 12:55:00,M-001,Ligne_A,71.69,4.17,594,27.0,8.0,0.0
2023-01-11 16:30:00,M-002,Ligne_A,81.35,4.11,560,12.0,8.0,0.0
2023-01-11 19:09:00,M-004,Ligne_B,90.81,3.82,510,20.0,8.0,0.0
2023-01-11 19:48:00,M-005,Ligne_C,81.66,4.22,624,26.0,8.0,0.0
2023-01-11 22:24:00,M-003,Ligne_B,83.11,3.72,433,8.0,8.0,0.0
2023-01-11 22:30:00,M-002,Ligne_A,71.89,5.27,646,23.0,8.0,0.0
2023-01-12 04:37:00,M-003,Ligne_B,87.89,,383,6.0,8.0,0.0
2023-01-12 04:46:00,M-002,Ligne_A,63.78,4.64,625,16.0,8.0,0.0
2023-01-12 05:09:00,M-001,Ligne_A,73.27,4.46,541,16.0,7.53,0.47
2023-01-12 09:26:00,M-003,Ligne_B,77.12,4.59,608,23.0,8.0,0.0
2023-01-12 10:27:00,M-005,Ligne_C,86.52,4.85,537,18.0,8.0,0.0
2023-01-12 16:32:00,M-003,Ligne_B,77.02,5.77,423,20.0,8.0,0.0
2023-01-12 18:36:00,M-004,Ligne_B,84.37,5.12,880,22.0,8.0,0.0
2023-01-12 21:27:00,M-001,Ligne_A,72.62,4.37,435,18.0,8.0,0.0
2023-01-13 12:39:00,M-003,Ligne_B,90.97,2.64,465,68.0,8.0,0.0
2023-01-13 14:29:00,M-003,Ligne_B,89.4,3.3,460,12.0,8.0,0.0
2023-01-13 15:06:00,M-005,Ligne_C,83.28,4.28,95,4.0,8.0,0.0
2023-01-13 15:57:00,M-003,Ligne_B,84.62,5.36,223,7.0,8.0,0.0
2023-01-13 16:52:00,M-002,Ligne_A,68.66,3.61,886,11.0,8.0,0.0
2023-01-13 19:05:00,M-002,Ligne_A,70.3,3.87,601,27.0,8.0,0.0
2023-01-13 21:12:00,M-004,Ligne_B,80.98,4.06,495,16.0,8.0,0.0
2023-01-13 23:46:00,M-003,Ligne_B,81.2,5.61,101,2.0,8.0,0.0
2023-01-14 02:22:00,M-003,Ligne_B,93.72,2.84,448,84.0,8.0,0.0
2023-01-14 02:40:00,M-004,Ligne_B,82.4,3.37,383,13.0,8.0,0.0
2023-01-14 04:00:00,M-004,Ligne_B,82.47,4.44,572,20.0,8.0,0.0
2023-01-14 04:50:00,M-002,Ligne_A,66.14,5.08,330,3.0,7.95,0.05
2023-01-14 05:12:00,M-004,Ligne_B,81.33,4.89,316,4.0,8.0,0.0
2023-01-14 06:10:00,M-005,Ligne_C,89.99,5.15,358,15.0,7.11,0.89
2023-01-14 06:30:00,M-001,Ligne_A,78.23,3.69,401,18.0,8.0,0.0
2023-01-14 10:38:00,M-001,Ligne_A,65.31,4.76,312,8.0,6.88,1.12
2023-01-14 11:13:00,M-004,Ligne_B,81.34,5.34,394,13.0,8.0,0.0
2023-01-14 12:33:00,M-003,Ligne_B,75.14,5.11,288,7.0,8.0,0.0
2023-01-14 14:33:00,M-002,Ligne_A,59.59,5.86,531,21.0,8.0,0.0
2023-01-14 19:48:00,M-004,Ligne_B,84.32,5.28,495,20.0,8.0,0.0
2023-01-14 20:31:00,M-002,Ligne_A,68.18,4.45,546,19.0,8.0,0.0
2023-01-14 22:27:00,M-003,Ligne_B,73.03,4.0,437,18.0,8.0,0.0
2023-01-14 23:11:00,M-001,Ligne_A,-99.9,4.78,419,4.0,8.0,0.0
2023-01-15 01:20:00,M-004,Ligne_B,79.55,3.2,582,18.0,8.0,0.0
2023-01-15 02:02:00,M-001,Ligne_A,75.15,4.88,538,18.0,8.0,0.0
2023-01-15 02:29:00,M-004,Ligne_B,91.88,3.7,576,26.0,8.0,0.0
2023-01-15 03:56:00,M-001,Ligne_A,60.8,3.48,406,6.0,8.0,0.0
2023-01-15 05:59:00,M-004,Ligne_B,85.18,4.22,529,18.0,7.86,0.14
2023-01-15 07:51:00,M-005,Ligne_C,74.33,3.86,701,15.0,7.58,0.42
2023-01-15 08:50:00,M-003,Ligne_B,78.81,6.17,454,21.0,8.0,0.0
2023-01-15 09:29:00,M-003,Ligne_B,78.99,5.06,413,12.0,7.55,0.45
2023-01-15 10:46:00,M-002,Ligne_A,70.61,5.42,394,5.0,8.0,0.0
2023-01-15 10:59:00,M-004,Ligne_B,86.26,4.23,796,21.0,8.0,0.0
2023-01-15 12:03:00,M-002,Ligne_A,69.76,5.07,415,17.0,7.41,0.59
2023-01-15 12:21:00,M-003,Ligne_B,89.35,3.24,390,18.0,8.0,0.0
2023-01-15 15:32:00,M-004,Ligne_B,83.27,3.44,466,14.0,6.97,1.03
2023-01-15 15:42:00,M-005,Ligne_C,90.72,4.99,692,30.0,8.0,0.0
2023-01-15 15:54:00,M-002,Ligne_A,75.31,,250,4.0,5.8,2.2
2023-01-15 15:57:00,M-005,Ligne_C,88.01,4.67,540,25.0,8.0,0.0
2023-01-15 17:37:00,M-002,Ligne_A,63.62,4.86,468,22.0,8.0,0.0
2023-01-15 18:02:00,M-005,Ligne_C,84.72,5.05,504,11.0,8.0,0.0
2023-01-15 20:38:00,M-005,Ligne_C,85.21,3.38,575,8.0,8.0,0.0
2023-01-15 23:39:00,M-001,Ligne_A,71.11,4.12,688,8.0,8.0,0.0
2023-01-16 02:30:00,M-001,Ligne_A,65.53,4.83,210,8.0,8.0,0.0
2023-01-16 03:47:00,M-001,Ligne_A,75.16,3.31,540,10.0,8.0,0.0
2023-01-16 05:20:00,M-002,Ligne_A,74.45,5.07,507,21.0,8.0,0.0
2023-01-16 07:12:00,M-003,Ligne_B,81.38,5.63,844,37.0,8.0,0.0
2023-01-16 07:18:00,M-005,Ligne_C,82.46,3.15,236,9.0,8.0,0.0
2023-01-16 07:23:00,M-002,Ligne_A,67.9,4.27,298,6.0,8.0,0.0
2023-01-16 13:41:00,M-002,Ligne_A,65.41,2.95,318,34.0,8.0,0.0
2023-01-16 14:09:00,M-003,Ligne_B,83.84,3.84,846,14.0,5.64,2.36
2023-01-16 23:10:00,M-001,Ligne_A,66.68,5.43,743,22.0,7.87,0.13
2023-01-17 03:21:00,M-002,Ligne_A,67.41,4.02,583,13.0,8.0,0.0
2023-01-17 06:06:00,M-001,Ligne_A,66.89,5.64,414,15.0,8.0,0.0
2023-01-17 07:17:00,M-001,Ligne_A,71.72,4.2,394,12.0,7.55,0.45
2023-01-17 08:14:00,M-003,Ligne_B,80.07,3.83,524,23.0,8.0,0.0
2023-01-17 10:04:00,M-004,Ligne_B,80.71,4.19,542,19.0,7.6,0.4
2023-01-17 10:05:00,M-004,Ligne_B,87.34,4.36,380,9.0,8.0,0.0
2023-01-17 10:25:00,M-002,Ligne_A,74.42,3.74,373,7.0,8.0,0.0
2023-01-17 10:26:00,M-003,Ligne_B,84.94,4.09,533,23.0,8.0,0.0
2023-01-17 14:16:00,M-003,Ligne_B,60.63,3.8,680,16.0,7.43,0.57
2023-01-17 15:59:00,M-001,Ligne_A,71.72,3.19,569,25.0,8.0,0.0
2023-01-17 18:41:00,M-001,Ligne_A,72.95,5.39,623,23.0,8.0,0.0
2023-01-17 21:36:00,M-003,Ligne_B,88.55,5.31,729,29.0,8.0,0.0
2023-01-17 22:36:00,M-002,Ligne_A,69.16,4.62,680,11.0,8.0,0.0
2023-01-18 01:36:00,M-001,Ligne_A,65.92,4.83,560,16.0,8.0,0.0
2023-01-18 02:07:00,M-003,Ligne_B,86.34,4.54,296,10.0,8.0,0.0
2023-01-18 04:57:00,M-005,Ligne_C,90.22,5.7,532,7.0,8.0,0.0
2023-01-18 06:29:00,M-005,Ligne_C,86.75,5.76,485,17.0,8.0,0.0
2023-01-18 08:55:00,M-004,Ligne_B,86.95,4.64,561,7.0,8.0,0.0
2023-01-18 09:01:00,M-003,Ligne_B,92.52,3.68,519,12.0,8.0,0.0
2023-01-18 09:38:00,M-004,Ligne_B,124.58,4.12,519,99.0,8.0,0.0
2023-01-18 14:38:00,M-004,Ligne_B,87.57,4.08,480,19.0,7.43,0.57
2023-01-18 20:41:00,M-003,Ligne_B,70.75,3.14,439,21.0,8.0,0.0
2023-01-18 21:34:00,M-003,Ligne_B,74.86,2.74,566,62.0,8.0,0.0
2023-01-19 02:49:00,M-004,Ligne_B,81.49,4.7,415,15.0,7.84,0.16
2023-01-19 04:32:00,M-004,Ligne_B,89.55,4.42,776,20.0,8.0,0.0
2023-01-19 08:31:00,M-004,Ligne_B,77.51,5.22,469,9.0,8.0,0.0
2023-01-19 11:04:00,M-005,Ligne_C,76.24,5.66,487,23.0,7.9,0.1
2023-01-19 11:44:00,M-005,Ligne_C,92.82,4.77,568,23.0,8.0,0.0
2023-01-19 14:24:00,M-001,Ligne_A,72.3,4.99,358,4.0,8.0,0.0
2023-01-19 14:57:00,M-002,Ligne_A,71.62,4.66,606,25.0,8.0,0.0
2023-01-19 17:16:00,M-003,Ligne_B,77.78,4.46,556,15.0,8.0,0.0
2023-01-19 17:21:00,M-003,Ligne_B,79.7,4.47,285,3.0,7.56,0.44
2023-01-19 17:51:00,M-003,Ligne_B,90.88,3.98,433,4.0,8.0,0.0
2023-01-19 18:45:00,M-002,Ligne_A,60.55,4.36,396,11.0,8.0,0.0
2023-01-19 20:12:00,M-003,Ligne_B,73.91,5.11,617,25.0,8.0,0.0
2023-01-19 22:59:00,M-004,Ligne_B,87.98,4.48,414,5.0,8.0,0.0
2023-01-20 00:16:00,M-001,Ligne_A,69.98,,725,23.0,8.0,0.0
2023-01-20 01:23:00,M-001,Ligne_A,74.39,3.8,505,12.0,8.0,0.0
2023-01-20 02:03:00,M-003,Ligne_B,77.99,4.28,769,32.0,8.0,0.0
2023-01-20 03:24:00,M-005,Ligne_C,89.49,4.11,433,6.0,8.0,0.0
2023-01-20 05:26:00,M-001,Ligne_A,77.0,5.24,508,19.0,8.0,0.0
2023-01-20 05:43:00,M-001,Ligne_A,66.77,4.81,602,25.0,8.0,0.0
2023-01-20 06:58:00,M-002,Ligne_A,75.25,4.07,697,19.0,7.48,0.52
2023-01-20 08:12:00,M-005,Ligne_C,86.38,5.89,529,7.0,8.0,0.0
2023-01-20 09:10:00,M-004,Ligne_B,77.78,4.08,592,17.0,7.59,0.41
2023-01-20 09:58:00,M-002,Ligne_A,75.65,3.75,612,30.0,6.16,1.84
2023-01-20 12:56:00,M-003,Ligne_B,77.11,4.95,424,4.0,8.0,0.0
2023-01-20 15:14:00,M-003,Ligne_B,86.48,4.29,249,11.0,8.0,0.0
2023-01-20 17:12:00,M-002,Ligne_A,74.66,5.2,220,5.0,5.8,2.2
2023-01-20 19:11:00,M-001,Ligne_A,65.49,3.25,800,31.0,8.0,0.0
2023-01-20 19:17:00,M-003,Ligne_B,92.55,4.47,474,9.0,8.0,0.0
2023-01-20 21:24:00,M-003,Ligne_B,91.19,5.14,526,9.0,8.0,0.0
2023-01-20 23:24:00,M-004,Ligne_B,95.34,5.6,406,15.0,8.0,0.0
2023-01-21 01:02:00,M-002,Ligne_A,71.98,4.76,456,13.0,8.0,0.0
2023-01-21 02:20:00,M-004,Ligne_B,88.81,4.2,615,14.0,7.55,0.45
2023-01-21 04:43:00,M-005,Ligne_C,65.06,4.21,332,16.0,7.85,0.15
2023-01-21 05:30:00,M-004,Ligne_B,75.94,5.43,429,20.0,8.0,0.0
2023-01-21 06:18:00,M-002,Ligne_A,71.73,3.26,459,5.0,8.0,0.0
2023-01-21 06:53:00,M-001,Ligne_A,70.38,3.47,649,17.0,7.86,0.14
2023-01-21 07:45:00,M-001,Ligne_A,67.53,5.7,627,10.0,8.0,0.0
2023-01-21 09:23:00,M-003,Ligne_B,90.93,5.48,682,28.0,8.0,0.0
2023-01-21 11:13:00,M-004,Ligne_B,188.12,5.32,535,42.0,8.0,0.0
2023-01-21 11:23:00,M-002,Ligne_A,69.64,4.47,609,7.0,7.93,0.07
2023-01-21 12:42:00,M-001,Ligne_A,70.26,5.09,487,11.0,8.0,0.0
2023-01-21 13:17:00,M-003,Ligne_B,80.88,4.51,520,23.0,8.0,0.0
2023-01-21 16:09:00,M-005,Ligne_C,88.17,5.3,65,1.0,8.0,0.0
2023-01-21 16:50:00,M-001,Ligne_A,65.64,4.82,359,13.0,6.25,1.75
2023-01-21 17:24:00,M-003,Ligne_B,89.51,4.72,402,11.0,8.0,0.0
2023-01-21 20:09:00,M-003,Ligne_B,-99.9,4.67,630,30.0,8.0,0.0
2023-01-21 23:04:00,M-005,Ligne_C,88.47,4.48,800,27.0,8.0,0.0
2023-01-22 00:52:00,M-001,Ligne_A,71.01,5.34,665,12.0,8.0,0.0
2023-01-22 03:13:00,M-004,Ligne_B,93.31,3.63,744,26.0,8.0,0.0
2023-01-22 07:13:00,M-005,Ligne_C,87.12,3.9,490,21.0,7.24,0.76
2023-01-22 07:33:00,M-003,Ligne_B,87.3,5.79,568,25.0,8.0,0.0
2023-01-22 09:23:00,M-001,Ligne_A,61.58,3.75,657,26.0,8.0,0.0
2023-01-22 11:08:00,M-002,Ligne_A,72.85,4.26,706,30.0,8.0,0.0
2023-01-22 11:34:00,M-001,Ligne_A,70.6,3.68,308,11.0,8.0,0.0
2023-01-22 12:07:00,M-003,Ligne_B,73.49,3.71,176,3.0,8.0,0.0
2023-01-22 13:05:00,M-005,Ligne_C,75.95,4.02,525,19.0,8.0,0.0
2023-01-22 14:58:00,M-002,Ligne_A,66.5,3.95,837,21.0,8.0,0.0
2023-01-22 19:28:00,M-001,Ligne_A,70.3,5.4,431,10.0,8.0,0.0
2023-01-22 19:47:00,M-002,Ligne_A,163.24,3.39,253,34.0,8.0,0.0
2023-01-22 23:28:00,M-004,Ligne_B,94.69,4.95,589,28.0,8.0,0.0
2023-01-22 23:31:00,M-005,Ligne_C,90.97,4.3,558,26.0,8.0,0.0
2023-01-22 23:55:00,M-004,Ligne_B,79.72,4.28,246,5.0,8.0,0.0
2023-01-22 23:59:00,M-003,Ligne_B,84.31,5.28,407,12.0,7.81,0.19
2023-01-23 01:08:00,M-005,Ligne_C,95.6,5.12,409,6.0,7.9,0.1
2023-01-23 01:30:00,M-003,Ligne_B,73.89,3.72,582,18.0,8.0,0.0
2023-01-23 01:41:00,M-002,Ligne_A,66.99,4.76,261,12.0,8.0,0.0
2023-01-23 03:03:00,M-003,Ligne_B,88.08,5.62,488,15.0,8.0,0.0
2023-01-23 03:34:00,M-001,Ligne_A,70.63,4.16,518,22.0,8.0,0.0
